OBJECTID,CNTYPT_,NAME,PYNAME,ADCODE93,POINT_X,POINT_Y
104,149.000000000000000,西乌珠穆沁旗,Xi Ujimqin Qi,152526,117.609390000000076,44.587070000000040
105,151.000000000000000,海林县,Hailin Xian,231022,129.385570000000030,44.565834000000052
106,152.000000000000000,扎鲁特旗,Jarud Qi,152327,120.903060000000096,44.549728000000073
107,153.000000000000000,德惠县,Dehui Xian,220124,125.692540000000008,44.528080000000045
108,154.000000000000000,乌苏县,Usu Xian,654222,84.682953000000055,44.425018000000080
109,156.000000000000000,农安县,Nong'an Xian,220122,125.179920000000038,44.421436000000085
110,157.000000000000000,舒兰县,Shulan Xian,220222,126.936170000000061,44.400906000000077
111,158.000000000000000,绥芬河市,Suifenhe Shi,231081,131.157550000000015,44.395725000000084
112,159.000000000000000,宁安县,Ning'an Xian,231021,129.477660000000014,44.344620000000077
113,160.000000000000000,沙湾县,Shawan Xian,654223,85.615860000000055,44.324142000000052
114,161.000000000000000,玛纳斯县,Manas Xian,652324,86.213585000000080,44.296005000000036
115,163.000000000000000,长岭县,Changling Xian,222323,123.974919999999997,44.272644000000071
116,164.000000000000000,呼图壁县,Hutubi Xian,652323,86.898254000000065,44.191418000000056
117,165.000000000000000,阜康县,Fukang Xian,652326,87.969818000000032,44.160519000000079
118,166.000000000000000,九台市,Jiutai Shi,220181,125.820180000000050,44.155857000000083
119,167.000000000000000,科尔沁左翼中旗,Horqin Zuoyi Zhongqi,152322,123.311130000000048,44.120445000000075
120,168.000000000000000,东宁县,Dongning Xian,231024,131.119920000000093,44.052681000000064
121,169.000000000000000,霍城县,Huocheng Xian,654123,80.867546000000061,44.051720000000046
122,170.000000000000000,奇台县,Qitai Xian,652325,89.582031000000029,44.019131000000073
123,171.000000000000000,阿巴嘎旗,Abag Qi,152522,114.964220000000068,44.018219000000045
124,173.000000000000000,吉木萨尔县,Jimsar Xian,652327,89.176849000000061,43.996189000000072
125,174.000000000000000,巴林左旗,Bairin Zuoqi,150422,119.380380000000059,43.978539000000069
126,175.000000000000000,伊宁县,Yining Xian,654121,81.521751000000052,43.972324000000071
127,176.000000000000000,米泉县,Miquan Xian,652322,87.649017000000072,43.959145000000035
128,177.000000000000000,锡林浩特市,Xilinhot Shi,152502,116.069209999999998,43.945251000000042
129,181.000000000000000,阿鲁科尔沁旗,Ar Horqin Qi,150421,120.088380000000029,43.880848000000071
130,182.000000000000000,苏尼特左旗,Sonid Zuoqi,152523,113.725230000000010,43.843979000000047
131,183.000000000000000,察布查尔锡伯自治县,Qapqal Xibo Zizhixian,654122,81.149147000000085,43.835987000000046
132,184.000000000000000,木垒哈萨克自治县,Mori Kazak Zizhixian,652328,90.289841000000081,43.821411000000069
133,186.000000000000000,乌鲁木齐县,Uuruumqi Xian,650100,87.604065000000048,43.790722000000073
134,187.000000000000000,尼勒克县,Nilka Xian,654128,82.499557000000038,43.784065000000055
135,188.000000000000000,蛟河市,Jiaohe Shi,220281,127.336330000000089,43.717735000000062
136,189.000000000000000,永吉县,Yongji Xian,220221,126.488300000000095,43.659443000000067
137,190.000000000000000,二连浩特市,Erenhot Shi,152501,111.970120000000065,43.649315000000058
138,192.000000000000000,林西县,Linxi Xian,150424,118.051010000000019,43.600822000000051
139,193.000000000000000,开鲁县,Kailu Xian,152324,121.307400000000030,43.599083000000064
140,194.000000000000000,巴里坤哈萨克自治县,Barkol Kazak Zizhixian,652222,93.013557000000048,43.592571000000078
141,195.000000000000000,双阳县,Shuangyang Xian,220125,125.672600000000102,43.526459000000045
142,196.000000000000000,巴林右旗,Bairin Youqi,150423,118.666980000000081,43.522350000000074
143,197.000000000000000,双辽县,Shuangliao Xian,220324,123.491970000000038,43.511112000000082
144,198.000000000000000,公主岭市,Gongzhuling Shi,220381,124.800910000000044,43.510063000000059
145,199.000000000000000,巩留县,Gongliu(Tokkuztara) Xian,654124,82.228157000000067,43.479759000000058
146,200.000000000000000,新源县,Xinyuan Xian,654125,83.256989000000033,43.436592000000076
147,201.000000000000000,敦化市,Dunhua Shi,222403,128.226230000000101,43.369633000000078
148,202.000000000000000,伊通满族自治县,Yitong Manzu Zizhixian,220323,125.298840000000041,43.345936000000052
149,203.000000000000000,梨树县,Lishu Xian,220322,124.332539999999995,43.314472000000080
150,204.000000000000000,汪清县,Wangqing Xian,222424,129.756439999999998,43.309116000000074
151,205.000000000000000,伊吾县,Yiwu(Aratuuruk) Xian,652223,94.681320000000028,43.252964000000077
152,206.000000000000000,克什克腾旗,Hexigten Qi,150425,117.510600000000068,43.248016000000064
153,207.000000000000000,特克斯县,Tekes Xian,654127,81.841316000000063,43.212692000000061
154,209.000000000000000,昭苏县,Zhaosu Xian,654126,81.127487000000031,43.157982000000061
155,210.000000000000000,安图县,Antu Xian,222426,128.912689999999998,43.110596000000044
156,211.000000000000000,桦甸市,Huadian Shi,220282,126.733630000000062,42.967720000000043
157,212.000000000000000,图们市,Tumen Shi,222402,129.844120000000089,42.966022000000066
158,213.000000000000000,科尔沁左翼后旗,Horqin Zuoyi Houqi,152323,122.346190000000092,42.948235000000068
159,214.000000000000000,磐石县,Panshi Xian,220223,126.063080000000014,42.944679000000065
160,216.000000000000000,翁牛特旗,Wengniute Qi,150426,119.018780000000106,42.934437000000059
161,219.000000000000000,东辽县,Dongliao Xian,220422,124.979000000000042,42.909512000000063
162,220.000000000000000,珲春市,Huichun Shi,222404,130.363200000000006,42.874271000000078
163,221.000000000000000,鄯善县,Shanshan(Piqan) Xian,652122,90.214363000000048,42.860790000000065
164,222.000000000000000,奈曼旗,Naiman Qi,152326,120.645650000000046,42.843887000000052
165,224.000000000000000,托克逊县,Toksun Xian,652123,88.657135000000039,42.788231000000053
166,225.000000000000000,龙井市,Longjing Shi,222405,129.432040000000029,42.772770000000037
167,226.000000000000000,昌图县,Changtu Xian,211224,124.120560000000069,42.770992000000035
168,227.000000000000000,康平县,Kangping Xian,211225,123.341360000000009,42.745182000000057
169,228.000000000000000,苏尼特右旗,Sunid Youqi,152524,112.644380000000069,42.740559000000076
170,229.000000000000000,西丰县,Xifeng Xian,211223,124.718050000000062,42.735374000000036
171,230.000000000000000,库伦旗,Hure Qi,152325,121.763180000000034,42.727966000000038
172,231.000000000000000,辉南县,Huinan Xian,220523,126.036730000000034,42.680046000000061
173,232.000000000000000,东丰县,Dongfeng Xian,220421,125.524650000000065,42.670563000000072
174,234.000000000000000,开原市,Kaiyuan Shi,211282,124.038100000000099,42.536697000000061
175,235.000000000000000,和龙县,Helong Xian,222423,129.003400000000056,42.535286000000042
176,236.000000000000000,梅河口市,Meihekou Shi,220581,125.680690000000027,42.534595000000081
177,237.000000000000000,法库县,Faku Xian,211226,123.406560000000013,42.502869000000089
178,238.000000000000000,铁法市,Tiefa Shi,211281,123.544090000000097,42.468254000000059
179,239.000000000000000,靖宇县,Jingyu Xian,220622,126.794650000000047,42.390255000000082
180,240.000000000000000,彰武县,Zhangwu Xian,210922,122.538440000000037,42.384422000000086
181,241.000000000000000,抚松县,Fusong Xian,220621,127.265920000000051,42.325520000000040
182,242.000000000000000,和静县,Hejing Xian,652827,86.386162000000070,42.315994000000046
183,243.000000000000000,正镶白旗,Zhengxiangbai Qi,152529,114.997890000000098,42.306622000000061
184,244.000000000000000,铁岭县,Tieling Xian,211201,123.847850000000108,42.295509000000038
185,246.000000000000000,敖汉旗,Aohan Qi,150430,119.896110000000022,42.284286000000066
186,247.000000000000000,柳河县,Liuhe Xian,220524,125.729720000000043,42.270134000000041
187,249.000000000000000,和硕县,Hoxud Xian,652828,86.862968000000080,42.256554000000051
188,250.000000000000000,正蓝旗,Zhenglan Qi,152530,115.995430000000056,42.246212000000071
189,251.000000000000000,镶黄旗,Xianghuang Qi,152528,113.842280000000073,42.242733000000044
190,252.000000000000000,多伦县,Duolun Xian,152531,116.470950000000016,42.184219000000041
191,253.000000000000000,清原满族自治县,Qingyuan Manzu Zizhixian,210423,124.914580000000001,42.100761000000034
192,256.000000000000000,焉耆回族自治县,Yanqi Huizu Zizhixian,652826,86.560768000000053,42.058575000000076
193,257.000000000000000,阜新蒙古族自治县,Fuxin Mongolzu Zizhixian,210921,121.735530000000040,42.049374000000057
194,260.000000000000000,新民县,Xinmin Xian,210121,122.822830000000067,41.992039000000034
195,261.000000000000000,额济纳旗,Ejin Qi,152923,101.071770000000072,41.971432000000050
196,262.000000000000000,博湖县,Bohu(Bagrax) Xian,652829,86.638428000000033,41.971031000000039
197,263.000000000000000,围场满族蒙古族自治县,Weichang Manzu Mongolzu Zizhixian,132629,117.740229999999997,41.942501000000050
198,264.000000000000000,喀喇沁旗,Harqin Qi,150428,118.686940000000050,41.929714000000047
